日付,潮回り,竿頭(宝来丸),竿頭(飛翔),潮の速さ,天気,波高,風速
2024/7/12,小潮,,,,雨曇晴,0.6,5
2024/7/13,小潮,32,,,晴曇,0.4,2
2024/7/14,小潮,渋,,,曇雨,0.2,2
2024/7/15,長潮,,,,雨雲雨 ,0.2,3
2024/7/16,若潮,38,,速い,雨雲,0.2,3
2024/7/17,中潮,,,,雨雲,0.2,1
2024/7/18,中潮,,,,雲晴雲,0.5,4
2024/7/19,大潮,渋,,速い,曇雨,0.7,3.5
2024/7/20,大潮,渋,,速い,曇晴,0.7,2
2024/7/21,大潮,,,,雲晴雨,0.5,4
2024/7/22,大潮,,,,雨晴,0.7,2
2024/7/23,中潮,21,,,晴曇,0.6,3
2024/7/24,中潮,,,,雨雲,0.7,2
2024/7/25,中潮,38,,,雨雲,0.4,2
2024/7/26,中潮,渋,,,晴雲,0.3,2.5
2024/7/27,小潮,36,,,曇,0.3,1
2024/7/28,小潮,18,,緩い,曇,0.8,2
2024/7/29,小潮,,,,晴,1.6,5
2024/7/30,長潮,,,,雨雲,1.5,6
2024/7/31,若潮,,,,雲晴,0.8,3.5
2024/8/1,中潮,デスメタル,,,晴,0.4,1.5
2024/8/2,中潮,50,,,晴,0.2,1
2024/8/3,大潮,デスメタル,,,晴,0.2,2.7
2024/8/6,中潮,,,,晴,0.8,5
2024/8/7,中潮,48,,,晴,0.4,3
2024/8/8,中潮,32,,,晴,0.4,4.5
2024/8/18,大潮,,,,雨晴,0.8,5
2024/8/19,大潮,良,,緩い,晴雲,0.2,4.5
2024/8/20,大潮,29,,緩い,雨晴,0.2,1
2024/8/21,中潮,32,,,晴,0.5,2
2024/8/22,中潮,,,,晴,0.3,5
2024/8/23,中潮,25,,,晴,0.5,1.4
2024/8/24,中潮,23,,,晴,0.5,3.5
2024/8/25,小潮,19,,,曇,0.2,1.6
2025/7/1,小潮,,,,雲,0.2,1
2025/7/2,小潮,,33,,雲,0.2,3
2025/7/3,小潮,,,,晴雲,0.2,3
2025/7/4,長潮,,34,,雲晴,0.4,3
2025/7/5,若潮,,,,雨雲,1,5
2025/7/6,中潮,26,,,晴雲,0.8,4
2025/7/7,中潮,,20,,晴,0.4,5
2025/7/10,大潮,,,,雨晴,0.7,7.5
2025/7/11,大潮,24,20,,晴,0.8,6.3
2025/7/12,中潮,,12,,晴,0.6,4
2025/7/13,中潮,13,9,緩い,晴,0.2,5.5
2025/7/18,小潮,,,,雲晴,0.4,8.5
2025/7/19,長潮,13,10,,晴,0.2,7.5
2025/7/20,若潮,10,22,,晴,0.2,3.5
2025/7/21,中潮,,20,,晴,0.2,3
2025/7/22,中潮,57,40,緩い,晴,0.2,3
2025/7/23,大潮,,25,,晴,0.2,5
2025/7/24,大潮,16,,,晴,0.2,4
2025/7/25,大潮,47,22,,晴,0.2,5
2025/7/26,大潮,25,21,,晴,0.2,5
2025/7/27,中潮,29,12,,晴,0.2,4.5
2025/7/28,中潮,,47,,晴,0.2,5.5
2025/7/30,中潮,27,15,,晴,0.4,6
2025/8/1,小潮,,,,晴,0.8,7
2025/8/2,小潮,18,,,晴,0.7,7
2025/8/3,長潮,,23,緩い,晴,0.4,4
2025/8/7,若潮,,,,晴雨,0.5,8
2025/8/8,大潮,20,35,,雲晴雲,0.8,6
